Rule ID,Severity,Scope,Category,Context,Description,Source File
"BR-TCR-08-03","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'CODE_COUNTRY' ('cac:ResponseValue/cbc:ResponseCode' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-04","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'DATE' ('cac:ResponseValue/cbc:ResponseDate' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-05","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'DESCRIPTION' ('cac:ResponseValue/cbc:Description' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-06","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'EVIDENCE_IDENTIFIER' ('cac:EvidenceSupplied/cbc:ID' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-07","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'INDICATOR' ('cac:ResponseValue/cbc:ResponseIndicator' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-08","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'PERCENTAGE' ('cac:ResponseValue/cbc:ResponseNumeric' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-09","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'PERIOD' ('cac:ApplicablePeriod' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-10","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'QUANTITY_INTEGER' ('cac:ResponseValue/cbc:ResponseQuantity' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-11","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'QUANTITY_YEAR' ('cac:ResponseValue/cbc:ResponseQuantity' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-12","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'QUANTITY' ('cac:ResponseValue/cbc:ResponseQuantity' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-13","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'IDENTIFIER' ('ac:ResponseValue/cbc:ResponseID' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-14","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'URL' ('cac:ResponseValue/cbc:ResponseURI' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-15","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'MAXIMUM_AMOUNT' ('cac:ResponseValue/cbc:ResponseAmount' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-16","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'MINIMUM_AMOUNT' ('cac:ResponseValue/cbc:ResponseAmount' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-17","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'MAXIMUM_VALUE_NUMERIC' ('cac:ResponseValue/cbc:ResponseNumeric' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-18","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'TRANSLATION_TYPE_CODE' ('cac:ResponseValue/cbc:ResponseCode' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-19","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'CERTIFICATION_LEVEL_DESCRIPTION' ('cac:ResponseValue/cbc:Description' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-20","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'COPY_QUALITY_TYPE_CODE' ('cac:ResponseValue/cbc:ResponseCode' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-21","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'TIME' ('cac:ResponseValue/cbc:ResponseTime' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-22","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'ECONOMIC_OPERATOR_IDENTIFIER' ('cac:ResponseValue/cbc:ResponseID' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-25","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'QUAL_IDENTIFIER' ('ac:ResponseValue/cbc:ResponseID' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-08-26","fatal","Response","Criterion","cac:TenderingCriterionResponse","The type of answer expected by the contracting authority is 'CODE_BOOLEAN' ('cac:ResponseValue/cbc:ResponseCode' element) - ('cbc:ID' is).","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
"BR-TCR-09","fatal","Response","Criterion","cac:TenderingCriterionResponse","The evidence response ('cac:EvidenceSupplied/cbc:ID' = '') does not have a corss-reference to the evidence identifier ('cac:Evidence/cbc:ID').","ESPDResponse/sch/03-ESPD-resp-criterion-br.sch"
